ID,lane_count,vehicle_fromTaz,vehicle_toTaz,avrg_speed,ini_time,end_time,ini_x_pos,ini_y_pos,end_x_pos,end_y_pos,tripinfo_duration,tripinfo_routeLength,tripinfo_timeLoss,tripinfo_waitingCount,tripinfo_waitingTime,tripinfo_arrivalLane,tripinfo_departLane,Repetition
185,73,Tortosa,BaixEbre,11.337047146401984,3996.0,4398.0,22470.37,32645.69,21692.22,34197.15,403.0,4565.93,83.9,0,0.0,109883877#3_0,150637254#3_0,2
188,153,Tortosa,BaixEbre,24.83377998829721,4212.0,5920.0,22546.7,32624.07,45998.94,43429.62,1709.0,42452.73,187.47,0,0.0,156403201#3_0,560977673_0,2
193,104,Tortosa,BaixEbre,24.09781707317072,4572.0,5391.0,22502.58,32694.94,34880.48,27616.91,820.0,19753.25,128.75,0,0.0,195168924#0_0,113204780#0_0,2
194,79,Tortosa,BaixEbre,17.437739898989907,4644.0,5435.0,22538.6,32630.85,30178.16,24564.24,792.0,13815.34,128.95,0,0.0,195169044#1_0,560977671_0,2
203,149,Tortosa,BaixEbre,25.02830568720377,5292.0,6979.0,22540.88,32395.65,46172.36,43686.38,1688.0,42246.04,178.36,0,0.0,156403191#1_0,146852850#2_0,2
204,266,Tortosa,BaixEbre,13.45567745474494,5364.0,9009.0,22491.98,32390.44,17864.57,24959.42,3646.0,49044.97,456.72,0,0.0,-683198122#2_0,383261848#1_0,2
207,106,Tortosa,BaixEbre,23.60931493815416,5580.0,6630.0,22538.6,32630.85,33492.04,31181.01,1051.0,24820.78,146.24,0,0.0,222091090#1_0,560977671_0,2
221,205,Tortosa,BaixEbre,21.787494722026768,6588.0,8008.0,22631.12,32611.56,19645.87,22579.32,1421.0,30948.05,229.0,0,0.0,282156301#0_0,362662918#0_0,2
222,121,Tortosa,BaixEbre,26.00134453781513,6660.0,7611.0,22969.3,32410.45,39150.06,32418.83,952.0,24747.3,120.25,0,0.0,-32567468#1_0,-116357331#2_0,2
227,62,Tortosa,BaixEbre,15.757828810020868,7020.0,7498.0,22470.37,32645.69,24932.81,26710.89,479.0,7541.25,88.46,0,0.0,-214721125#0_0,150637254#3_0,2
231,129,Tortosa,BaixEbre,26.372951653943986,7380.0,8558.0,22539.15,32637.23,40543.32,21929.27,1179.0,31084.57,154.05,0,0.0,195032180#0_0,146905147_0,2
238,185,Tortosa,BaixEbre,23.017484423676013,8220.0,9503.0,22991.7,32421.63,20320.77,21960.81,1284.0,29541.95,213.27,0,0.0,-211732909#0_0,116357331#3_0,2
244,224,Tortosa,BaixEbre,19.78028270244368,8940.0,11026.0,22427.78,32385.23,17813.17,23508.2,2087.0,41255.85,289.57,0,0.0,-282154684_0,150637233#0_0,2
248,52,Tortosa,BaixEbre,12.08640167364017,9420.0,9658.0,22533.02,32604.43,22679.86,30919.04,239.0,2868.48,63.7,0,0.0,429502105#4_0,-150637238#2_0,2
250,150,Tortosa,BaixEbre,16.375681731864816,9660.0,12292.0,22447.43,32514.41,40446.93,24971.8,2633.0,43117.73,302.43,0,0.0,-194817945#9_0,150637270#0_0,2
251,109,Tortosa,BaixEbre,28.73163093415011,9780.0,11085.0,22502.58,32694.94,47495.76,42394.88,1306.0,37508.29,121.29,0,0.0,156402273#4_0,113204780#0_0,2
253,112,Tortosa,BaixEbre,26.840323809523795,10020.0,11069.0,22423.04,32504.19,34015.01,22661.26,1050.0,28183.07,124.64,0,0.0,-208720876#1_0,150637275#0_0,2
257,98,Tortosa,BaixEbre,17.09725877192983,10500.0,11411.0,22991.7,32421.63,29905.27,24415.12,912.0,15585.57,144.38,0,0.0,195174979#1_0,116357331#3_0,2
259,143,Tortosa,BaixEbre,9.497337184873953,10740.0,12643.0,22411.6,32348.68,23556.01,26778.98,1904.0,18070.19,246.28,0,0.0,228733784#2_0,362662925#2_0,2
265,142,Tortosa,BaixEbre,27.687834674469595,7596.0,8962.0,22470.11,32518.97,46119.55,39632.86,1367.0,37833.11,165.0,0,0.0,153539361#1_0,150637238#0_0,2
270,104,Tortosa,BaixEbre,12.486576354679801,7956.0,8361.0,22468.62,32417.24,21377.57,34183.81,406.0,5055.39,120.14,0,0.0,425294665#0_0,146850115_0,2
272,159,Tortosa,BaixEbre,9.72956089911134,8100.0,10012.0,22534.34,32361.23,24983.27,25539.02,1913.0,18610.61,248.27,0,0.0,-585117431#16_0,362662925#0_0,2
277,169,Tortosa,BaixEbre,25.661239577543093,8460.0,10258.0,22422.37,32535.91,48343.07,42459.95,1799.0,46162.74,176.88,0,0.0,156350551#0_0,150637254#0_0,2
291,95,Tortosa,BaixEbre,17.376272648835172,9468.0,10626.0,22522.23,32408.11,29660.41,23434.1,1159.0,20142.93,152.3,0,0.0,-224778915#2_0,146850113#2_0,2
294,108,Tortosa,BaixEbre,22.78716455696202,9684.0,10473.0,22483.77,32645.84,30755.43,25637.86,790.0,17988.29,137.35,0,0.0,-195172777#0_0,119055086#0_0,2
295,134,Tortosa,BaixEbre,23.524191002367786,9756.0,11022.0,22483.82,32689.14,37483.0,22392.7,1267.0,29782.93,164.94,0,0.0,-195014776#5_0,-103962834#1_0,2
299,118,Tortosa,BaixEbre,12.928571428571436,10044.0,10498.0,22488.17,32326.5,21239.65,33636.97,455.0,5882.12,124.65,0,0.0,109300217#0_0,-146852857_0,2
307,58,Tortosa,BaixEbre,14.09651452282157,10620.0,10860.0,22426.73,32322.6,22602.71,30305.25,241.0,3384.0,64.83,0,0.0,-135165890#2_0,560977621#13_0,2
310,61,Tortosa,BaixEbre,14.049534883720925,10836.0,11093.0,22426.73,32322.6,22601.93,30560.53,258.0,3624.21,66.59,0,0.0,135165890#11_0,560977621#13_0,2
315,146,Tortosa,BaixEbre,25.07796208530805,11196.0,12883.0,22457.47,32624.14,45779.72,43464.97,1688.0,42329.07,176.77,0,0.0,156402255#15_0,-150637254#2_0,2
317,195,Tortosa,BaixEbre,23.078669260700423,11340.0,12624.0,22594.18,32354.02,20048.09,23038.87,1285.0,29650.29,212.4,0,0.0,-282156303#1_0,135977993#0_0,2
321,132,Tortosa,BaixEbre,26.209063032367954,11628.0,12801.0,22489.19,32405.61,38249.15,22639.76,1174.0,30761.93,147.76,0,0.0,-105648017#2_0,383261848#0_0,2
325,115,Tortosa,BaixEbre,22.45913606911447,11916.0,12841.0,22468.62,32417.24,35257.12,27653.47,926.0,20796.62,140.66,0,0.0,-507861568#4_0,146850115_0,2
333,123,Tortosa,BaixEbre,22.781118279569892,12492.0,13421.0,22959.72,32561.47,34916.04,27583.33,930.0,21184.33,147.27,0,0.0,105563669#3_0,-561367695#0_0,2
338,17,Tortosa,BaixEbre,13.269036144578314,12852.0,12934.0,22524.51,32637.01,22570.26,32640.27,83.0,1081.73,25.01,0,0.0,-344448216#3_0,47229067#1_0,2
341,87,Tortosa,BaixEbre,28.270735294117607,13068.0,13883.0,22470.11,32518.97,37819.99,31964.75,816.0,23045.67,94.06,0,0.0,195184162#1_0,150637238#0_0,2
346,98,Tortosa,BaixEbre,30.469310645724303,13428.0,14573.0,22522.23,32408.11,46311.28,39984.19,1146.0,34909.92,125.36,0,0.0,153759891#1_0,146850113#2_0,2
349,92,Tortosa,BaixEbre,24.33821287779239,13644.0,14404.0,22640.37,32429.18,34365.05,28441.1,761.0,18507.89,122.81,0,0.0,455729511#1_0,-146872522_0,2
352,119,Tortosa,BaixEbre,26.66980555555552,13860.0,14939.0,22470.11,32518.97,35604.63,22904.57,1080.0,28795.49,131.52,0,0.0,-104311859#0_0,150637238#0_0,2
353,122,Tortosa,BaixEbre,25.5564285714286,13932.0,14925.0,22887.78,32743.44,38309.64,32021.2,994.0,25392.94,122.38,0,0.0,127049852#2_0,146911510#0_0,2
355,147,Tortosa,BaixEbre,26.632666132906362,14076.0,15324.0,22524.51,32637.01,40506.46,22012.1,1249.0,33240.38,162.4,0,0.0,-195034863_0,47229067#1_0,2
358,199,Tortosa,BaixEbre,23.139082934609213,14292.0,15545.0,22537.08,32416.39,19648.79,21946.59,1254.0,29014.06,219.74,0,0.0,211911813#7_0,146850113#0_0,2
369,109,Tortosa,BaixEbre,29.61952699474436,11940.0,14032.0,22651.38,32345.01,48749.21,47211.67,2093.0,61977.1,155.8,0,0.0,-265656162#5_0,362662923#6_0,2
373,134,Tortosa,BaixEbre,28.05573474001511,12420.0,13746.0,22424.22,32371.86,45899.87,39569.51,1327.0,37220.03,156.86,0,0.0,628381842#2_0,-560977621#14_0,2
377,143,Tortosa,BaixEbre,25.208774038461595,12900.0,14563.0,22457.47,32624.14,46819.39,43480.48,1664.0,41942.11,173.82,0,0.0,-165477131#5_0,-150637254#2_0,2
380,207,Tortosa,BaixEbre,20.336822603057048,13260.0,15418.0,22488.17,32326.5,48674.67,22288.16,2159.0,43904.8,290.2,0,0.0,103494039_0,-146852857_0,2
384,152,Tortosa,BaixEbre,25.51766570605189,13740.0,15474.0,23044.82,32342.62,46738.77,43268.87,1735.0,44279.67,182.26,0,0.0,156402259#3_0,-355426870_0,2
385,114,Tortosa,BaixEbre,27.931492537313428,13860.0,16137.0,22631.12,32611.56,48987.4,46199.19,2278.0,63634.94,178.36,0,0.0,32649425#50_0,362662918#0_0,2
386,91,Tortosa,BaixEbre,23.858123249299716,13980.0,14693.0,22423.75,32337.38,31344.8,25427.3,714.0,17027.32,114.78,0,0.0,195172814#0_0,-560977621#13_0,2
390,75,Tortosa,BaixEbre,13.330334261838438,14430.0,14788.0,22947.61,32851.46,20293.2,32067.09,359.0,4780.7,74.87,0,0.0,-363594696#7_0,-146911520#1_0,2
391,87,Tortosa,BaixEbre,24.306861924686192,14490.0,15206.0,22435.61,32574.15,27575.12,22197.3,717.0,17420.44,97.76,0,0.0,524558229#1_0,-150637254#1_0,2
392,21,Tortosa,BaixEbre,12.272952380952376,14550.0,14654.0,22479.25,32571.09,22327.42,31660.45,105.0,1280.91,22.27,0,0.0,-116353865#2_0,108789748#0_0,2
395,114,Tortosa,BaixEbre,9.052487804878037,14730.0,16369.0,22522.23,32408.11,23196.6,27793.38,1640.0,14851.84,228.25,0,0.0,-231639785#31_0,146850113#2_0,2
397,146,Tortosa,BaixEbre,25.979802631578927,14850.0,16521.0,22535.95,32621.69,46714.34,43264.75,1672.0,43427.01,175.66,0,0.0,156403197#4_0,-47229067#0_0,2
399,116,Tortosa,BaixEbre,11.97750556792874,14970.0,15418.0,22544.49,32374.5,21443.43,34208.27,449.0,5363.49,133.8,0,0.0,-380424019#12_0,146852850#1_0,2
404,62,Tortosa,BaixEbre,14.416040955631384,15270.0,15562.0,22424.22,32371.86,20188.2,32178.87,293.0,4219.0,62.84,0,0.0,363594706_0,-560977621#14_0,2
407,77,Tortosa,BaixEbre,11.019069212410491,15450.0,16706.0,22448.32,32595.24,25036.04,26759.64,1257.0,13839.41,162.39,0,0.0,251833496#1_0,150637254#2_0,2
411,89,Tortosa,BaixEbre,24.31144680851064,15690.0,16394.0,22535.95,32621.69,27800.46,22557.92,705.0,17121.9,104.15,0,0.0,-633327983#0_0,-47229067#0_0,2
413,91,Tortosa,BaixEbre,15.141782608695657,15810.0,16269.0,22536.57,32627.19,18787.29,33865.2,460.0,6962.72,111.42,0,0.0,-672033534#3_0,-130313082_0,2
416,32,Tortosa,BaixEbre,13.542866666666674,15990.0,16139.0,22424.22,32371.86,22782.01,30860.13,150.0,2026.27,25.37,0,0.0,634297922#6_0,-560977621#14_0,2
417,23,Tortosa,BaixEbre,13.578869565217396,16050.0,16164.0,22448.84,32481.7,22159.25,31855.42,115.0,1542.15,19.4,0,0.0,114253401#0_0,-150637239#1_0,2
420,110,Tortosa,BaixEbre,14.060860058309038,16230.0,16915.0,22959.72,32561.47,20362.52,35821.56,686.0,9634.08,120.14,0,0.0,-131320074_0,-561367695#0_0,2
421,33,Tortosa,BaixEbre,17.309329268292675,16290.0,16453.0,22427.78,32385.23,21298.97,31985.46,164.0,2826.64,27.37,0,0.0,247915652#0_0,150637233#0_0,2
426,99,Tortosa,BaixEbre,10.076486784140966,16590.0,17497.0,22476.07,32627.95,21987.96,34353.0,908.0,9138.28,151.22,0,0.0,248113487#0_0,146849596_0,2
